Word,Pinyin,Meaning,Level,Lecture
护士,hushi,Nurse,1,11
经理,jingli,manager,1,11
律师,lvshi,lawyer,1,11
记者,jizhe,reporter,1,11
语言,yvyan,language,1,11
大学,daxue,University,1,11
小学,xiaoxue,primary school,1,11
中学,zhongxue,middle school,1,11
怎么样,zenmeyang,How about it,1,11
觉得,juede,feel,1,11
语法,yufa,grammar,1,11
词汇,cihui,vocabulary,1,11
语音,yuyin,voice,1,11
听,ting,listen,1,11
读,du,read,1,11
生词,shengci,new words,1,11
比较,bijiao,Compare,1,11
累,lei,tired,1,11
错,cuo,wrong,1,12
容易,rongyi,easy,1,12
但是,haishi,but,1,12
新,xin,new,1,12
旧,jiu,old(things),1,12
老,lao,old(people),1,12
同屋,tongwu,roommate,1,12
班,ban,class,1,12
黑,hei,black,1,12
红,hong,red,1,12
黄,huang,yellow,1,12
蓝,lan,blue,1,13
灰,hui,ash,1,13
箱子,xiangji,box,1,13
重,zhong,Heavy,1,13
轻,qing,light,1,13
药,yao,medicine,1,13
叶,ye,leaf,1,13
日用品,riyongpin,Daily necessities,1,13
衣服,yifu,clothing,1,13
件,jian,<measure for clothes>,1,13
穿,chuan,wear,1,13
雨伞,yusan,Umbrella,1,13
把,ba,<measure for objects with handle>,1,13
香水,xiangshui,perfume,1,13
瓶,ping,bottle,1,13
词典,cidian,dictionary,1,13
本子,benzi,book,1,13
光盘,guangpan,CD,1,13
张,zhang,<measure for flat objects>,1,13
笔,bi,Pen,1,13
支,zhi,<measure for pen>,1,13
经理,jingli,manager,1,14
好久,haojiu,a long time,1,14
最近,zuijin,recent,1,14
最,zui,most,1,14
刚,gang,Just,1,14
开,kai,open,1,14
有点儿,youdianr,kind of,1,14
咖啡,kafei,coffee,1,14
奶,nai,Milk,1,14
杯,bei,<measure for cups>,1,14
杯子,beizi,cup,1,14
车,che,car,1,14
辆,liang,vehicle,1,14
自行车,zixingche,bike,1,14
汽车,qiche,car,1,14
摩托车,motuoche,motorcycle,1,14
出租车,chuzuche,taxi,1,14
颜色,yanse,color,1,14
骑,qi,ride,1,14
开车,kaiche,drive,1,14
饮料,yinliao,drinks,1,14
果汁,guozhi,juice,1,14
照相机,zhaoxiangji,camera,1,15
全,quan,Complete,1,15
全部,quanbu,all,1,15
照片,zhaopian,photo,1,15
喜欢,xihuan,like,1,15
看,kan,look,1,15
电视,dianshi,television,1,15
只,zhi,Only,1,15
做,zuo,Do,1,15
当,dang,work as,1,15
医生,yisheng,doctor,1,15
医院,yiyuan,Hospital,1,15
演员,yanyuan,actor,1,15
司机,siji,driver,1,15
服务员,fuwuyuan,waiter,1,15
公司,gongsi,company,1,15
商店,shangdian,shop,1,15
外贸,waimao,foreign trade,1,15
大概,dagai,perhaps,1,15
外国,waiguo,foreign,1,15
岁,suo,age,1,15
冷,leng,cold,1,16
热,re,hot,1,16
高兴,gaoxing,Happy,1,16
漂亮,piaoliang,pretty,1,16
能,neng,able,1,16
睡觉,shuijiao,sleep,1,16
飞机,feiji,airplane,1,16
东西,dongsi,thing,1,16
现在,xianzai,Now,1,16
跟,gen,with,1,16
一起,yiqi,Together,1,16
咱们,zanmen,we,1,16
走,zou,Walk,1,16
常,chang,often,1,16
时候,shihou,when,1,16
有时候,youshihou,sometimes,1,16
借,jie,borrow,1,16
问路,wenlu,Ask for directions,2,1
怎么走,zenmezou,how to go,2,1
地方,difang,place,2,1
超市,chaoshi,supermarket,2,1
公园,gongyuan,garden,2,1
远,yuan,Far,2,1
前,qian,forward,2,1
后,hou,back,2,1
上,shang,superior,2,1
下,xia,Down,2,1
左,zuo,Left,2,1
右,you,right,2,1
里,li,inside,2,1
外,wai,outside,2,1
东,dong,East,2,1
西,si,West,2,1
南,yue,South,2,1
北,bei,north,2,1
边,bian,side,2,1
面,mian,noodle,2,1
前面,qianmian,Front,2,1
后面,houmian,later,2,1
上面,shangmian,above,2,1
里面,limian,in,2,1
外面,waimian,Outside,2,1
中间,zhongjian,middle,2,1
旁边,pangbian,beside,2,1
对面,duimian,opposite,2,1
从,cong,from,2,1
到,dao,arrive,2,1
往,wang,to go (in a direction),2,1
然后,ranhou,after that,2,2
拐,guai,to turn,2,2
回答,huida,answer,2,2
问题,wenti,question,2,2
饭店,fandian,Restaurant,2,2
酒店,jiudian,hotel,2,2
四川,sichuan,Sichuan,2,2
就,jiu,immediately,2,2
离,li,Leave,2,2
米,mi,meter,2,2
公里,gongli,kilometer,2,2
生日,shengri,Birthday,2,3
出生,chusheng,born,2,3
举行,juxing,hold,2,3
晚会,wanhui,soiree,2,3
蛋糕,dangao,cake,2,3
聊天儿,liaotianr,Chat,2,3
前年,qiannian,the year before last,2,3
去年,qunian,last year,2,3
今年,jinnian,This year,2,3
明年,mingnian,next year,2,3
后年,hounian,the year after tomorrow,2,3
真,zhen,really,2,3
快乐,kuaile,happy,2,4
祝,zhu,wish,2,4
健康,jiankang,healthy,2,4
顺利,shunli,smoothly,2,4
幸福,xingfu,happiness,2,4
美满,meiman,perfectly satisfactory,2,4
为什么,weishenme,Why,2,4
因为,yinwei,because,2,4
所以,suoyi,so,2,4
事,shi,thing,2,4
空儿,kongr,empty,2,4
想,xiang,think,2,4
让,rang,let,2,4
派,pai,group,2,4
电影,dianying,Movie,2,4
见面,jianmian,Meet,2,4
唱,chang,Sing,2,4
歌,ge,Song,2,4
爱好,aihao,Hobby,2,5
非常,feichang,Very,2,5
电影院,dianyingyuan,Cinema,2,5
公交车,gongjiaoche,the bus,2,5
地铁,ditie,subway,2,5
快,kuai,quick,2,5
慢,man,slow,2,5
又,you,again,2,5
菜,cai,vegetable,2,5
有名,youming,famous,2,5
交通工具,jiaotonggongju,Transportation,2,5
机场,jichang,Airport,2,5
火车,huoche,train,2,5
火车站,huochezhan,TRAIN STATION,2,5
高铁,gaotie,high speed rail,2,5
轻轨,qinggui,Light Rail,2,5
外公,waigong,grandpa,2,6
外婆,waipo,grandmother,2,6
年龄,nianling,age,2,6
多大 ,duoda,How big,2,6
鱼,yu,fish,2,6
条,tiao,strip,2,6
只,zhi,Only,2,6
可爱,keai,cute,2,6
乖,guai,good,2,6
音乐,yinyue,music,2,7
古典,gudian,classical,2,7
现代,xiandai,modern,2,7
玩,wan,Play,2,7
一边,yibian,aside,2,7
首,shou,head,2,7
迟到,chidao,be late,2,7
行,xing,OK,2,7
次,ci,Second-rate,2,7
平时,pingshi,usually,2,7
每天,meitian,every day,2,7
休息,xiuxi,rest,2,7
打,da,beat,2,7
求,qiu,beg,2,7
球,qiu,ball,2,7
篮球,lanqiu,basketball,2,7
网球,wangqiu,tennis,2,7
排球,paiqiu,volleyball,2,7
羽毛球,yumaoqiu,badminton,2,7
足球,zuqiu,football,2,7
踢,ti,Kick,2,7
跳,tiao,Jump,2,7
别人,bieren,other people,2,7
周末,zhoumo,weekend,2,7
跟,gen,and,2,7
一起,yiqi,Together,2,7
下个,xiage,Next,2,7
上个,shangge,Previous,2,7
现在,xianzai,Now,2,8
点,dian,point,2,8
点钟,dianzhong,o'clock,2,8
半,ban,Half,2,8
刻,ke,carve,2,8
分,fen,point,2,8
差,cha,Difference,2,8
早晨,zaochen,morning,2,9
夜间,yejian,at night,2,9
床,chuang,bed,2,9
起床,qichuang,get up,2,9
单人床,danrenchuang,single bed,2,9
双人床,shuangrenchuang,double bed,2,9
刷,shua,brush,2,9
牙,ya,tooth,2,9
刷牙,shuaya,brush teeth,2,9
牙刷,yashua,toothbrush,2,9
洗,xi,wash,2,9
洗脸,xilian,wash face,2,9
上课,shangke,Attend class,2,9
上班,shangban,work,2,9
下课,xiake,After class,2,9
下班,xiaban,get off work,2,9
锻炼,duanlian,exercise,2,9
小时,xiaoshi,Hour,2,9
洗澡,xizao,bath,2,9
报,bao,newspaper,2,9
上网,shangwang,Internet access,2,9
复习,fuxi,review,2,9
门口,menkou,doorway,2,9
时候,shihou,when,2,9
什么时候,shenmeshihou,when,2,9
或者,huozhe,or,2,9
操场,caochang,playground,2,9
酒吧,jiuba,bar,2,9
以后,yihou,after,2,10
以前,yiqian,before,2,10
宿舍,sushe,dormitory,2,10
练习,lianxi,practise,2,10
预习,yuxi,Preview,2,10
才,cai,talent,2,10
可以,keyi,Can,2,11
会,hui,meeting,2,11
游泳,youyong,swim,2,11
能,neng,able,2,11
可能,keneng,possible,2,11
愿意,yuanyi,willing,2,11
可是,keshi,But,2,11
接,jie,catch,2,11
说话,shuohua,say,2,11
谈,tan,talk,2,11
没电,meidian,No power,2,12
充电,chongdian,Charge,2,12
表,biao,surface,2,12
停,ting,stop,2,12
电池,dianchi,Battery,2,12
该,gai,Should,2,12
遍,bian,all over,2,12
趟,tang,trip,2,12
自己,ziji,Own,2,12
服装店,fuzhuangdian,clothing store,2,13
服装,fuzhuang,clothing,2,13
上衣,shangyi,Jacket,2,13
衬衫,chenshan,shirt,2,13
毛衣,maoyi,sweater,2,13
大衣,dayi,coat,2,13
外套,waitao,coat,2,13
T恤,Txu,t-shirt,2,13
穿,chuan,wear,2,13
脱,tuo,take off,2,13
试,shi,try,2,13
裤子,kuzi,Pants,2,13
裙子,qunzi,skirt,2,13
连衣裙,lianyiqun,dress,2,13
鞋,xie,shoe,2,13
双,shuang,pair,2,13
长,chang,long,2,13
短,duan,short,2,13
深,shen,deep,2,13
浅,qian,shallow,2,13
大小,daxiao,size,2,13
正合适,zhengheshi,just right,2,13
棕,zong,Brown,2,13
橙,cheng,orange,2,13
绿,lv,green,2,13
打折,dazhe,Discount,2,13
商场,商场,shopping mall,2,13
适合,shihe,Suitable,2,13
喂,wei,Hello,2,14
接,jie,catch,2,14
帮,bang,help,2,14
帮助,bangzhu,help,2,14
帮忙,bangmang,help,2,14
准备,zhunbei,Prepare,2,14
考试,kaoshi,take an exam,2,14
水平,shuiping,level,2,14
级,ji,class,2,14
参加,canjia,join,2,14
比赛,bisai,Contest,2,14
旅行,luxing,travel,2,15
团,tuan,group,2,15
意思,yisi,mean,2,15
不好意思,buhaoyisi,Excuse me,2,15
油,you,Oil,2,15
同意,tongyi,agree,2,15
完全,wanquan,completely,2,15
打算,dasuan,Intend,2,15
已经,yijing,already,2,16
