id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
32,个,gè,cái (đơn vị lượng từ),thing (quantifier),我有一个钱包。,Wǒ yǒu yī ge qiánbāo.,Tôi có một cái ví tiền.,I have a wallet.,1
33,工作,gōngzuò,công việc,job,我的工作很忙。,Wǒ de gōngzuò hěn máng.,Công việc của tôi rất bận.,My work is very busy.,1
34,狗,gǒu,chó,dog,这只狗很可爱。,Zhè zhī gǒu hěn kě'ài.,Con chó này rất dễ thương.,This dog is very cute.,1
35,汉语,Hànyǔ,tiếng Hán,Chinese,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Trung.,I am learning Chinese.,1
36,好,hǎo,"tốt, khỏe","good, healthy",他很好。,Tā hěn hǎo.,Anh ấy rất tốt.,He is very nice.,1
37,喝,hē,uống,drink,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.,I drink water.,1
38,和,hé,và,and,我和你一起去。,Wǒ hé nǐ yīqǐ qù.,Tôi và bạn cùng đi.,You and I go together.,1
39,很,hěn,rất,very,这个苹果很甜。,Zhège píngguǒ hěn tián.,Cái táo này rất ngọt.,This apple is very sweet.,1
40,后面,hòumiàn,phía sau,behind,我家在后面。,Wǒ jiā zài hòumiàn.,Nhà tôi ở phía sau.,My house is in the back.,1
41,回,huí,"quay lại, về",turn back,我回家了。,Wǒ huí jiā le.,Tôi đã về nhà.,I went home.,1
42,会,huì,"sẽ, biết (kỹ năng)","will, know (skill)",我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.,I can speak Chinese.,1
43,火车站,huǒchēzhàn,ga tàu,train station,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.,The train station is ahead.,1
44,几,jǐ,mấy,some,你有几个苹果？,Nǐ yǒu jǐ ge píngguǒ?,Bạn có mấy quả táo?,How many apples do you have?,1
45,家,jiā,"gia đình, nhà","family, home",我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,Nhà tôi có bốn người.,There are four people in my family.,1
46,叫,jiào,"gọi, tên gọi","call, name",她叫李娜。,Tā jiào Lǐ Nà.,Cô ấy tên là Lý Na.,Her name is Ly Na.,1
47,今天,jīntiān,hôm nay,Today,今天是星期一。,Jīntiān shì xīngqī yī.,Hôm nay là thứ Hai.,Today is Monday.,1
48,九,jiǔ,chín,ripe,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.,I have nine books.,1
49,开,kāi,"mở, khởi động","open, start",我们开车去。,Wǒmen kāichē qù.,Chúng tôi đi bằng ô tô.,We go by car.,1
50,看,kàn,xem,see,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.,I like watching movies.,1
51,看见,kànjiàn,nhìn thấy,see,我看见你了。,Wǒ kànjiàn nǐ le.,Tôi đã thấy bạn.,I saw you.,1
52,块,kuài,"miếng, đồng (tiền)","piece, coin (money)",这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Cái táo này hai tệ.,This apple is two yuan.,1
53,来,lái,đến,arrive,明天我来。,Míngtiān wǒ lái.,Ngày mai tôi đến.,I come tomorrow.,1
54,老师,lǎoshī,giáo viên,teacher,我的老师很友好。,Wǒ de lǎoshī hěn yǒuhǎo.,Giáo viên của tôi rất thân thiện.,My teacher is very friendly.,1
55,了,le,đã (dùng để chỉ sự thay đổi),has (used to indicate change),她去了学校。,Tā qùle xuéxiào.,Cô ấy đã đi đến trường.,She went to school.,1
56,冷,lěng,lạnh,cold,外面很冷。,Wàimiàn hěn lěng.,Bên ngoài rất lạnh.,It's cold outside.,1
57,里,lǐ,trong,in,我的书在里面。,Wǒ de shū zài lǐmiàn.,Sách của tôi ở bên trong.,My books are inside.,1
58,零,líng,không (số 0),zero (number 0),今天零度。,Jīntiān líng dù.,Hôm nay không độ.,Today is zero degrees.,1
59,六,liù,sáu,six,我有六个苹果。,Wǒ yǒu liù ge píngguǒ.,Tôi có sáu quả táo.,I have six apples.,1
60,妈妈,māma,mẹ,Mom,我的妈妈很漂亮。,Wǒ de māmā hěn piàoliang.,Mẹ của tôi rất xinh đẹp.,My mother is very beautiful.,1
61,吗,ma,không (dùng trong câu hỏi),no (used in questions),你好吗？,Nǐ hǎo ma?,Bạn khỏe không?,How are you?,1
62,买,mǎi,mua,buy,我买了水果。,Wǒ mǎile shuǐguǒ.,Tôi đã mua trái cây.,I bought fruit.,1
63,猫,māo,mèo,cat,这只猫很可爱。,Zhè zhī māo hěn kě'ài.,Con mèo này rất dễ thương.,This cat is so cute.,1
64,没,méi,"không có, chưa","no, not yet",我没看见他。,Wǒ méi kànjiàn tā.,Tôi không nhìn thấy anh ấy.,I don't see him.,1
65,没关系,méi guānxi,"không sao, không có gì",no problem,下雨了，没关系，我们有伞。,"Xiàyǔ le, méi guānxì, wǒmen yǒu sǎn.","Trời mưa rồi, không sao đâu, chúng ta có ô.","It's raining, it's okay, we have umbrellas.",1
66,米饭,mǐfàn,cơm,rice,我们吃米饭。,Wǒmen chī mǐfàn.,Chúng tôi ăn cơm.,We eat rice.,1
67,明天,míngtiān,ngày mai,Tomorrow,明天见。,Míngtiān jiàn.,Ngày mai gặp.,See you tomorrow.,1
68,名字,míngzi,tên,name,你叫什么名字？,Nǐ jiào shénme míngzì?,Bạn tên là gì?,What's your name?,1
69,哪里 (哪儿),nǎlǐ (nǎr),"đâu, chỗ nào",where,你要去哪儿？,Nǐ yào qù nǎr？,Bạn muốn đi đâu?,Where do you want to go?,1
70,那,nà,"đó, kia",there,那个书包很漂亮。,Nàge shūbāo hěn piàoliang.,Cái cặp sách đó rất đẹp.,That school bag is very beautiful.,1
71,呢,ne,thì sao? (dùng để hỏi thêm),so what? (used to ask more),你呢？,Nǐ ne?,Còn bạn thì sao?,How about you?,1
72,能,néng,có thể,maybe,他能说三种语言。,Tā néng shuō sān zhǒng yǔyán.,Anh ấy có thể nói ba ngôn ngữ.,He can speak three languages.,1
73,你,nǐ,bạn,Friend,你叫什么名字？,Nǐ jiào shénme míngzi?,Bạn tên là gì?,What's your name?,1
74,年,nián,năm,year,我结婚三年了。,Wǒ jiéhūn sān nián le.,Tôi kết hôn 3 năm rồi.,I have been married for 3 years.,1
75,女儿,nǚ'ér,con gái,Daughter,她是我的女儿。,Tā shì wǒ de nǚ'ér.,Con bé là con gái của tôi.,She is my daughter.,1
76,朋友,péngyou,bạn,Friend,她的朋友很聪明。,Tā de péngyou hěn cōngmíng.,Bạn của cô ấy rất thông minh.,Her friend is very smart.,1
77,漂亮,piàoliang,đẹp,Pretty,她很漂亮。,Tā hěn piàoliang.,Cô ấy rất xinh đẹp.,She is very beautiful.,1
78,苹果,píngguǒ,táo,apple,这个苹果很好吃。,Zhège píngguǒ hěn hǎochī.,Táo này rất ngon.,This apple is delicious.,1
79,七,qī,bảy,seven,我有七个朋友。,Wǒ yǒu qī ge péngyou.,Tôi có bảy người bạn.,I have seven friends.,1
80,钱,qián,tiền,money,这本书多少钱？,Zhè běn shū duōshǎo qián?,Cuốn sách này giá bao nhiêu?,How much is this book?,1
81,前面,qiánmiàn,phía trước,front,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.,The train station is ahead.,1
82,请,qǐng,"xin vui lòng, mời",please,请给我菜单。,Qǐng gěi wǒ càidān.,Xin vui lòng đưa cho tôi thực đơn.,Please give me the menu.,1
83,去,qù,đi,Go,我们要去商店。,Wǒmen yào qù shāngdiàn.,Chúng tôi phải đến cửa hàng.,We have to go to the store.,1
84,热,rè,nóng,hot,天气很热。,Tiānqì hěn rè.,Thời tiết rất nóng.,The weather is very hot.,1
85,人,rén,người,People,这个人很友好。,Zhè ge rén hěn yǒuhǎo.,Người này rất thân thiện.,This person is very friendly.,1
86,认识,rènshi,quen biết,acquainted,我认识他。,Wǒ rènshi tā.,Tôi quen anh ấy.,I know him.,1
87,日,rì,ngày,day,今天是几月几日？,Jīntiān shì jǐ yuè jǐ rì?,Hôm nay là ngày mấy tháng mấy?,What day is it today?,1
88,三,sān,ba,three,我有三本书。,Wǒ yǒu sān běn shū.,Tôi có ba cuốn sách.,I have three books.,1
89,商店,shāngdiàn,cửa hàng,shop,这个商店很大。,Zhège shāngdiàn hěn dà.,Cửa hàng này rất lớn.,This store is very big.,1
90,上,shàng,lên,go up,他在上楼。,Tā zài shàng lóu.,Anh ấy đang lên tầng.,He is going upstairs.,1
91,上午,shàngwǔ,buổi sáng,morning,上午我们去学校。,Shàngwǔ wǒmen qù xuéxiào.,Vào buổi sáng chúng tôi đi học.,In the morning we go to school.,1
92,少,shǎo,ít,little,我们还少一个人。,Wǒmen hái shǎo yīgè rén.,Chúng tôi vẫn thiếu một người.,We are still short one person.,1
93,谁,shuí/ shéi,ai,Who,谁是你的老师？,Shéi shì nǐ de lǎoshī?,Ai là giáo viên của bạn?,Who is your teacher?,1
94,什么,shénme,cái gì,what,你想吃什么？,Nǐ xiǎng chī shénme?,Bạn muốn ăn gì?,What would you like to eat?,1
95,十,shí,mười,ten,我有十块钱。,Wǒ yǒu shí kuài qián.,Tôi có mười tệ.,I have ten yuan.,1
96,时候,shíhòu,"lúc, khi",when,你什么时候来？,Nǐ shénme shíhòu lái?,Bạn đến lúc nào ?,When do you arrive?,1
97,是,shì,"là, thì","is, then",这是一本好书。,Zhè shì yī běn hǎo shū.,Đây là một cuốn sách hay.,This is a good book.,1
98,书,shū,sách,book,这本书很有意思。,Zhè běn shū hěn yǒuyìsi.,Cuốn sách này rất thú vị.,This book is very interesting.,1
99,水,shuǐ,nước,water,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.,I drink water.,1
100,水果,shuǐguǒ,trái cây,fruit,她喜欢吃水果。,Tā xǐhuān chī shuǐguǒ.,Cô ấy thích ăn trái cây.,She likes eating fruit.,1
101,睡觉,shuìjiào,ngủ,Sleep,他每天晚上十点睡觉。,Tā měitiān wǎnshàng shí diǎn shuìjiào.,Anh ấy đi ngủ lúc mười giờ tối mỗi ngày.,He goes to bed at ten o'clock every night.,1
102,说话,shuōhuà,nói chuyện,talk,你怎么不说话？,Nǐ zěnme bù shuōhuà?,Sao bạn không nói chuyện thế?,Why don't you talk?,1
103,四,sì,bốn,four,他们四个人去旅行。,Tāmen sì gè rén qù lǚxíng.,Bốn người họ đi du lịch.,The four of them went traveling.,1
104,岁,suì,tuổi,year old,我今年二十五岁。,Wǒ jīnnián èrshíwǔ suì.,Tôi năm nay hai mươi lăm tuổi.,I am twenty five years old.,1
105,他,tā,"anh ấy, ông ấy","he, he",他是我的朋友。,Tā shì wǒ de péngyou.,Anh ấy là bạn của tôi.,He is my friend.,1
106,她,tā,"cô ấy, bà ấy","she, she",她在家里。,Tā zài jiālǐ.,Cô ấy ở nhà.,She is at home.,1
107,太,tài,quá,too,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.,It's hot today.,1
108,天气,tiānqì,thời tiết,weather,今天天气很好。,Jīntiān tiānqì hěn hǎo.,Thời tiết hôm nay rất tốt.,The weather is very nice today.,1
109,听,tīng,nghe,listen,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.,I like listening to music.,1
110,同学,tóngxué,bạn học,classmate,我们是同学。,Wǒmen shì tóngxué.,Chúng tôi là bạn học.,We are classmates.,1
111,喂,wèi,alo,Hello,喂，你好吗？,"Wèi, nǐ hǎo ma?","Alo, bạn khỏe không?","Hello, how are you?",1
112,我,wǒ,tôi,I,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.,I want to drink water.,1
113,我们,wǒmen,chúng tôi,we,我们一起去吧。,Wǒmen yīqǐ qù ba.,Chúng ta cùng đi nhé.,Let's go together.,1
114,五,wǔ,năm,year,他有五本书。,Tā yǒu wǔ běn shū.,Anh ấy có năm cuốn sách.,He has five books.,1
115,喜欢,xǐhuān,thích,prefer,我喜欢喝咖啡。,Wǒ xǐhuān hē kāfēi.,Tôi thích uống cà phê.,I like drinking coffee.,1
116,下,xià,xuống,down,我在下楼。,Wǒ zài xià lóu.,Tôi đang xuống lầu.,I'm going downstairs.,1
117,下午,xiàwǔ,buổi chiều,afternoon,下午我们去逛街。,Xiàwǔ wǒmen qù guàngjiē.,"uổi chiều, chúng tôi đi dạo phố.","In the afternoon, we went for a walk.",1
118,下雨,xià yǔ,mưa,rain,外面下雨了，记得带伞。,"Wàimiàn xià yǔ le, jìdé dài sǎn.","Ngoài trời mưa, nhớ mang theo ô.","It's raining outside, remember to bring an umbrella.",1
119,先生,xiānshēng,"ông, ngài",sir,先生，这边请。,"Xiānshēng, zhè biān qǐng",Mời anh qua bên này.,Please come this way.,1
120,现在,xiànzài,bây giờ,Now,我现在很累。,Wǒ xiànzài hěn lèi.,Tôi hiện tại rất mệt.,I am very tired now.,1
121,想,xiǎng,"nghĩ, muốn","think, want",我想去看电影。,Wǒ xiǎng qù kàn diànyǐng.,Tôi muốn đi xem phim.,I want to go to the movies.,1
122,小,xiǎo,nhỏ,small,这是一只小狗。,Zhè shì yī zhī xiǎo gǒu.,Đây là một chú chó con.,This is a puppy.,1
123,小姐,xiǎojiě,cô (trong cách gọi),she (in the way of calling),小姐，请问这里有洗手间吗？,"Xiǎojiě, qǐngwèn zhèlǐ yǒu xǐshǒujiān ma?","Cô ơi, xin hỏi ở đây có nhà vệ sinh không?","Miss, is there a restroom here?",1
124,些,xiē,vài,few,我们买了一些水果。,Wǒmen mǎile yīxiē shuǐguǒ.,Chúng tôi đã mua một ít trái cây.,We bought some fruit.,1
125,写,xiě,viết,write,我正在写信。,Wǒ zhèngzài xiě xìn.,Tôi đang viết thư.,I am writing a letter.,1
126,谢谢,xièxiè,cảm ơn,Thanks,谢谢你的帮助。,Xièxiè nǐ de bāngzhù.,Cảm ơn sự giúp đỡ của bạn.,Thanks for your help.,1
127,星期,xīngqī,tuần,week,一个星期就好。,Yí gè xīngqī jiǔ hǎo.,Một tuần là được,One week is fine.,1
128,学生,xuéshēng,học sinh,pupil,他是一个好学生。,Tā shì yīgè hǎo xuéshēng.,Anh ấy là một học sinh giỏi.,He is a good student.,1
129,学习,xuéxí,học tập,study,学习中文很有趣。,Xuéxí zhōngwén hěn yǒuqù.,Học tiếng Trung rất thú vị.,Learning Chinese is fun.,1
130,学校,xuéxiào,trường học,school,我在学校学习中文。,Wǒ zài xuéxiào xuéxí zhōngwén.,Tôi học tiếng Trung ở trường.,I study Chinese at school.,1
131,一,yī,một,one,一个人在公园散步。,Yī gè rén zài gōngyuán sànbù.,Một người đang đi dạo trong công viên.,A man is walking in the park.,1
132,衣服,yīfu,quần áo,clothes,这件衣服很漂亮。,Zhè jiàn yīfu hěn piàoliang.,Bộ quần áo này rất đẹp.,This outfit is very nice.,1
133,医生,yīshēng,bác sĩ,doctor,他是一位医生。,Tā shì yī wèi yīshēng.,Anh ấy là một bác sĩ.,He is a doctor.,1
134,医院,yīyuàn,bệnh viện,hospital,我们去医院看病。,Wǒmen qù yīyuàn kàn bìng.,Chúng tôi đến bệnh viện để khám bệnh.,We went to the hospital to see a doctor.,1
135,椅子,yǐzi,ghế,chair,请坐在椅子上。,Qǐng zuò zài yǐzi shàng.,Xin ngồi lên ghế.,Please sit down.,1
136,月,yuè,"tháng, mặt trăng","month, moon",这个月我很忙。,Zhège yuè wǒ hěn máng.,Tháng này tôi rất bận.,I am very busy this month.,1
137,在,zài,"ở, tại",at,他在学校学习。,Tā zài xuéxiào xuéxí.,Anh ấy học ở trường.,He studies at school.,1
138,再见,zàijiàn,tạm biệt,Goodbye,我们明天再见。,Wǒmen míngtiān zàijiàn.,Chúng ta gặp lại vào ngày mai.,See you tomorrow.,1
139,怎么,zěnme,làm sao,how,你怎么了？,Nǐ zěnme le?,Bạn sao vậy?,how are you,1
140,怎么样,zěnmeyàng,như thế nào,how,你的工作怎么样？,Nǐ de gōngzuò zěnmeyàng?,Công việc của bạn thế nào?,How is your work?,1
141,这,zhè,"Đây, này","Here, here",这件事怎么样？,Zhè jiàn shì zěnme yàng?,Việc này như thế nào?,How does this work?,1
142,中国,Zhōngguó,Trung Quốc,China,中国有很多美丽的风景。,Zhōngguó yǒu hěn duō měilì de fēngjǐng.,Trung Quốc có nhiều cảnh đẹp.,China has many beautiful sceneries.,1
143,中午,zhōngwǔ,buổi trưa,noon,中午我们去吃饭吧。,Zhōngwǔ wǒmen qù chīfàn ba.,Buổi trưa chúng ta đi ăn cơm nhé.,Let's go eat lunch.,1
144,住,zhù,"sống, cư trú","live, reside",我住在一个很安静的地方。,Wǒ zhù zài yīgè hěn ānjìng de dìfāng.,Tôi sống ở một nơi rất yên tĩnh.,I live in a very quiet place.,1
145,桌子,zhuōzi,bàn,table,桌子上放着一本书。,Zhuōzi shàng fàngzhe yī běn shū.,Trên bàn có một cuốn sách.,There is a book on the table.,1
146,字,zì,chữ,letter,我们要学会写字。,Wǒmen yào xuéhuì xiě zì.,Chúng ta phải học viết chữ.,We have to learn to write.,1
147,昨天,zuótiān,hôm qua,Yesterday,昨天我去看了一部电影。,Zuótiān wǒ qù kànle yī bù diànyǐng.,Hôm qua tôi đã đi xem một bộ phim.,I went to see a movie yesterday.,1
148,坐,zuò,ngồi,sit,我们在公园里坐了一会儿。,Wǒmen zài gōngyuán lǐ zuòle yīhuìr.,Chúng tôi đã ngồi một lúc trong công viên.,We sat for a while in the park.,1
149,做,zuò,làm,do,他正在做作业。,Tā zhèngzài zuò zuòyè.,Anh ấy đang làm bài tập về nhà.,He is doing his homework.,1
1,吧,ba,"đi, nhé, nhỉ (đứng cuối câu)","go, okay, right (at the end of the sentence)",请你帮我吧。,Qǐng nǐ bāng wǒ ba.,Xin bạn giúp tôi nhé.,Please help me.,2
2,白,bái,trắng,white,他的白色衬衫很漂亮。,Tā de báisè chènshān hěn piàoliang.,Áo sơ mi trắng của anh ấy rất đẹp.,His white shirt is very nice.,2
3,百,bǎi,trăm,hundred,我们要买一百个苹果。,Wǒmen yào mǎi yī bǎi gè píngguǒ.,Chúng tôi muốn mua một trăm quả táo.,We want to buy one hundred apples.,2
4,帮助,bāngzhù,giúp đỡ,help,请你帮忙翻译这篇文章。,Qǐng nǐ bāngmáng fānyì zhè piān wénzhāng.,Xin bạn giúp dịch bài viết này.,Please help translate this article.,2
5,报纸,bàozhǐ,báo,newspaper,我每天都看报纸。,Wǒ měitiān dōu kàn bàozhǐ.,Tôi đọc báo mỗi ngày.,I read the newspaper every day.,2
6,比,bǐ,so sánh,compare,我的家比你的家大。,Wǒ de jiā bǐ nǐ de jiā dà.,Nhà của tôi lớn hơn nhà của bạn.,My house is bigger than your house.,2
7,别,bié,"đừng, khác biệt","don't, be different",别忘带钥匙。,Bié wàng dài yàoshi.,Đừng quên mang theo chìa khóa.,Don't forget to bring your keys.,2
8,长,cháng,dài,long,她的头发很长。,Tā de tóufǎ hěn cháng.,Tóc của cô ấy rất dài.,Her hair is very long.,2
9,唱歌,chànggē,hát,sing,我喜欢唱歌。,Wǒ xǐhuān chànggē.,Tôi thích hát.,I like to sing.,2
10,出,chū,ra ngoài,go out,我们出去玩吧。,Wǒmen chūqù wán ba.,Chúng ta ra ngoài chơi đi.,Let's go out and play.,2
11,穿,chuān,mặc,wear,你穿的衣服很漂亮。,Nǐ chuān de yīfú hěn piàoliang.,Quần áo bạn mặc rất đẹp.,The clothes you wear are very beautiful.,2
12,船,chuán,thuyền,boat,他坐在船上。,Tā zuò zài chuán shàng.,Anh ấy ngồi trên thuyền.,He is sitting on the boat.,2
13,次,cì,lần,time,这是我第一次来这里。,Zhè shì wǒ dì yī cì lái zhèlǐ.,Đây là lần đầu tiên tôi đến đây.,This is my first time here.,2
14,从,cóng,"từ, theo","from, according to",他从早上工作到晚上。,Tā cóng zǎoshang gōngzuò dào wǎnshang.,Anh ấy làm việc từ sáng đến tối.,He works from morning to night.,2
15,错,cuò,sai,wrong,他做错了一个题。,Tā zuò cuòle yīgè tí.,Anh ấy đã làm sai một bài tập.,He did an exercise wrong.,2
16,打篮球,dǎ lánqiú,chơi bóng rổ,play basketball,他打篮球打得很好。,Tā dǎ lánqiú dǎ de hěn hǎo.,Anh ấy chơi bóng rổ rất giỏi.,He plays basketball very well.,2
17,大家,dàjiā,mọi người,everybody,大家都很高兴。,Dàjiā dōu hěn gāoxìng.,Mọi người đều rất vui.,Everyone was very happy.,2
18,但是,dànshì,nhưng,But,我想去，但是没有时间。,"Wǒ xiǎng qù, dànshì méiyǒu shíjiān.","Tôi muốn đi, nhưng không có thời gian.","I want to go, but I don't have time.",2
19,到,dào,đến,arrive,我们今天到学校了。,Wǒmen jīntiān dào xuéxiào le.,Hôm nay chúng tôi đã đến trường.,We went to school today.,2
20,得,děi,"phải, đạt được","must, achieve",你得努力学习。,Nǐ děi nǔlì xuéxí.,Bạn phải cố gắng học.,You have to try to learn.,2
21,等,děng,đợi,wait,我们等你来。,Wǒmen děng nǐ lái.,Chúng tôi đợi bạn đến.,We wait for you to come.,2
22,弟弟,dìdì,em trai,younger brother,弟弟在玩玩具。,Dìdì zài wán wánjù.,Em trai đang chơi đồ chơi.,The younger brother is playing with toys.,2
23,第一,dì yī,đầu tiên,Firstly,他是第一名。,Tā shì dì yī míng.,Anh ấy là người đứng đầu.,He is the head.,2
24,懂,dǒng,hiểu,understand,我不懂这个问题。,Wǒ bù dǒng zhège wèntí.,Tôi không hiểu vấn đề này.,I don't understand this problem.,2
25,对,duì,"đúng, đối với","yes, for",你对我很好。,Nǐ duì wǒ hěn hǎo.,Bạn đối xử tốt với tôi.,you treat me well,2
26,房间,fángjiān,phòng,room,房间里很安静。,Fángjiān lǐ hěn ānjìng.,Trong phòng rất yên tĩnh.,It was very quiet in the room.,2
27,非常,fēicháng,"rất, cực kỳ","very, extremely",这道菜非常好吃。,Zhè dào cài fēicháng hǎochī.,Món ăn này rất ngon.,This dish is delicious.,2
28,服务员,fúwùyuán,nhân viên phục vụ,waiter,服务员请帮忙。,Fúwùyuán qǐng bāngmáng.,"Nhân viên phục vụ, xin giúp đỡ.","Waiter, please help.",2
29,高,gāo,cao,High,他很高。,Tā hěn gāo.,Anh ấy rất cao.,He is very tall.,2
30,告诉,gàosù,"nói cho, thông báo","tell, inform",请告诉我答案。,Qǐng gàosù wǒ dá'àn.,Xin cho tôi biết đáp án.,Please tell me the answer.,2
31,哥哥,gēge,anh trai,Older brother,哥哥在家里。,Gēge zài jiālǐ.,Anh trai đang ở nhà.,My brother is at home.,2
32,给,gěi,"đưa cho, cho",give,请给我一本书。,Qǐng gěi wǒ yī běn shū.,Xin hãy đưa cho tôi một cuốn sách.,Please give me a book.,2
33,公共汽车,gōnggòng qìchē,xe buýt,bus,公共汽车很方便。,Gōnggòng qìchē hěn fāngbiàn.,Xe buýt rất tiện lợi.,The bus is very convenient.,2
34,公斤,gōngjīn,kilogram (kg),kilogram (kg),这个包十公斤。,Zhège bāo shí gōngjīn.,Cái túi này mười kilogram.,This bag weighs ten kilograms.,2
35,公司,gōngsī,công ty,company,我在公司工作。,Wǒ zài gōngsī gōngzuò.,Tôi làm việc ở công ty.,I work in a company.,2
36,贵,guì,"đắt, quý","expensive, precious",这件衣服很贵。,Zhè jiàn yīfú hěn guì.,Cái áo này rất đắt.,This shirt is very expensive.,2
